"fare_id","route_id","origin_id","destination_id","contains_id"
"CPTM","CPTM L07","","",""
"CPTM","CPTM L08","","",""
"CPTM","CPTM L09","","",""
"CPTM","CPTM L10","","",""
"CPTM","CPTM L11","","",""
"CPTM","CPTM L12","","",""
"Metrô","METRÔ L1","","",""
"Metrô","METRÔ L2","","",""
"Metrô","METRÔ L3","","",""
"Metrô","METRÔ L4","","",""
"Metrô","METRÔ L5","","",""
"Ônibus","1015-10","","",""
"Ônibus","1016-10","","",""
"Ônibus","1017-10","","",""
"Ônibus","1018-10","","",""
"Ônibus","1021-10","","",""
"Ônibus","106A-10","","",""
"Ônibus","107T-10","","",""
"Ônibus","107T-31","","",""
"Ônibus","1156-10","","",""
"Ônibus","1156-31","","",""
"Ônibus","1177-10","","",""
"Ônibus","1177-31","","",""
"Ônibus","1177-42","","",""
"Ônibus","1177-51","","",""
"Ônibus","1178-10","","",""
"Ônibus","1178-31","","",""
"Ônibus","1178-32","","",""
"Ônibus","1178-33","","",""
"Ônibus","1178-42","","",""
"Ônibus","118C-10","","",""
"Ônibus","118C-21","","",""
"Ônibus","118C-22","","",""
"Ônibus","118C-24","","",""
"Ônibus","118C-41","","",""
"Ônibus","118Y-10","","",""
"Ônibus","119C-10","","",""
"Ônibus","119L-10","","",""
"Ônibus","119P-10","","",""
"Ônibus","1206-10","","",""
"Ônibus","121G-10","","",""
"Ônibus","128Y-10","","",""
"Ônibus","138Y-10","","",""
"Ônibus","148L-10","","",""
"Ônibus","148P-10","","",""
"Ônibus","1701-10","","",""
"Ônibus","1701-51","","",""
"Ônibus","1702-10","","",""
"Ônibus","1703-10","","",""
"Ônibus","1705-10","","",""
"Ônibus","1709-10","","",""
"Ônibus","1709-21","","",""
"Ônibus","1720-10","","",""
"Ônibus","1720-21","","",""
"Ônibus","1721-10","","",""
"Ônibus","1721-21","","",""
"Ônibus","1721-51","","",""
"Ônibus","1722-10","","",""
"Ônibus","1726-10","","",""
"Ônibus","1726-51","","",""
"Ônibus","172J-10","","",""
"Ônibus","172K-10","","",""
"Ônibus","172N-10","","",""
"Ônibus","172N-21","","",""
"Ônibus","172N-22","","",""
"Ônibus","172P-10","","",""
"Ônibus","172R-10","","",""
"Ônibus","172U-10","","",""
"Ônibus","172X-10","","",""
"Ônibus","172Y-10","","",""
"Ônibus","1730-10","","",""
"Ônibus","1732-10","","",""
"Ônibus","1738-10","","",""
"Ônibus","1741-10","","",""
"Ônibus","1741-21","","",""
"Ônibus","1742-10","","",""
"Ônibus","1743-10","","",""
"Ônibus","1743-51","","",""
"Ônibus","1744-10","","",""
"Ônibus","1744-21","","",""
"Ônibus","1745-10","","",""
"Ônibus","1745-41","","",""
"Ônibus","174M-10","","",""
"Ônibus","1756-10","","",""
"Ônibus","1757-10","","",""
"Ônibus","1758-10","","",""
"Ônibus","1758-51","","",""
"Ônibus","1759-10","","",""
"Ônibus","1759-21","","",""
"Ônibus","1759-41","","",""
"Ônibus","175P-10","","",""
"Ônibus","175T-10","","",""
"Ônibus","1760-10","","",""
"Ônibus","1760-41","","",""
"Ônibus","1764-10","","",""
"Ônibus","1764-41","","",""
"Ônibus","1765-10","","",""
"Ônibus","1766-10","","",""
"Ônibus","1767-10","","",""
"Ônibus","1767-51","","",""
"Ônibus","1771-10","","",""
"Ônibus","1772-10","","",""
"Ônibus","1773-10","","",""
"Ônibus","1775-10","","",""
"Ônibus","1778-10","","",""
"Ônibus","1778-51","","",""
"Ônibus","177H-10","","",""
"Ônibus","177H-21","","",""
"Ônibus","177P-10","","",""
"Ônibus","177X-10","","",""
"Ônibus","177Y-10","","",""
"Ônibus","1780-10","","",""
"Ônibus","1782-10","","",""
"Ônibus","1783-10","","",""
"Ônibus","1783-22","","",""
"Ônibus","1783-41","","",""
"Ônibus","1783-52","","",""
"Ônibus","1785-10","","",""
"Ônibus","1786-10","","",""
